sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
716,2,"gentle",9,15,"JJ","JJ",2,"gentl"
716,3,"closure",15,22,"NN","NN",2,"closur"
716,4,"of",22,24,"IN","IN",2,"of"
716,5,"my",24,26,"PRP$","WP",1,"my"
716,6,"breast",26,32,"NN","NN",1,"breast"
716,7,",",32,33,",",",",5,","
717,0,"From",0,4,"IN","IN",5,"From"
717,1,"whence",4,10,"NN","NN",3,"whenc"
717,2,"at",10,12,"IN","IN",3,"at"
717,3,"pleasure",12,20,"NN","NN",2,"pleasur"
717,4,"thou",20,24,"PRP","WP",5,"thou"
717,5,"mayst",24,29,"VBP","VB",5,"mayst"
717,6,"come",29,33,"VBN","VB",1,"come"
717,7,"and",33,36,"CC","CC",3,"and"
717,8,"part",36,40,"VB","VB",1,"part"
717,9,";",40,41,":",":",2,";"
718,0,"And",0,3,"CC","CC",10,"And"
718,1,"even",3,7,"RB","RB",9,"even"
718,2,"thence",7,13,"VBD","VB",9,"thenc"
718,3,"thou",13,17,"PRP","WP",6,"thou"
718,4,"wilt",17,21,"MD","MD",6,"wilt"
718,5,"be",21,23,"VB","VB",5,"be"
718,6,"stol",23,27,"JJ","JJ",4,"stol"
718,7,"'n",27,29,"RB","RB",4,"'n"
718,8,"I",29,30,"PRP","WP",1,"I"
718,9,"fear",30,34,"VBP","VB",1,"fear"
718,10,",",34,35,",",",",10,","
719,0,"For",0,3,"IN","IN",4,"For"
719,1,"truth",3,8,"NN","NN",3,"truth"
719,2,"proves",8,14,"VBZ","VB",4,"prove"
719,3,"thievish",14,22,"NN","NN",3,"thievish"
719,4,"for",22,25,"IN","IN",3,"for"
719,5,"a",25,26,"DT","DT",1,"a"
719,6,"prize",26,31,"NN","NN",1,"prize"
719,7,"so",31,33,"RB","RB",1,"so"
719,8,"dear",33,37,"VBN","VB",1,"dear"
719,9,".",37,38,".",".",5,"."
720,0,"XLIX",0,4,"NNP","NN",1,"XLIX"
721,0,"Against",0,7,"IN","IN",5,"Against"
721,1,"that",7,11,"DT","DT",3,"that"
721,2,"time",11,15,"NN","NN",3,"time"
721,3,",",15,16,",",",",4,","
721,4,"if",16,18,"IN","IN",3,"if"
721,5,"ever",18,22,"RB","RB",1,"ever"
721,6,"that",22,26,"DT","DT",1,"that"
721,7,"time",26,30,"NN","NN",1,"time"
721,8,"come",30,34,"VBP","VB",1,"come"
721,9,",",34,35,",",",",4,","
722,0,"When",0,4,"WRB","RB",7,"When"
722,1,"I",4,5,"PRP","WP",6,"I"
722,2,"shall",5,10,"MD","MD",6,"shall"
722,3,"see",10,13,"VB","VB",5,"see"
722,4,"thee",13,17,"PRP","WP",3,"thee"
722,5,"frown",17,22,"VBN","VB",3,"frown"
722,6,"on",22,24,"IN","IN",2,"on"
722,7,"my",24,26,"PRP$","WP",1,"my"
722,8,"defects",26,33,"NNS","NN",1,"defect"
722,9,",",33,34,",",",",3,","
723,0,"When",0,4,"WRB","RB",6,"When"
723,1,"as",4,6,"IN","IN",5,"as"
723,2,"thy",6,9,"PRP$","WP",4,"thy"
723,3,"love",9,13,"NN","NN",4,"love"
723,4,"hath",13,17,"VBD","VB",5,"hath"
723,5,"cast",17,21,"VBD","VB",2,"cast"
723,6,"his",21,24,"PRP$","WP",1,"hi"
723,7,"utmost",24,30,"JJ","JJ",1,"utmost"
723,8,"sum",30,33,"NN","NN",1,"sum"
723,9,",",33,34,",",",",5,","
724,0,"Call",0,4,"VB","VB",5,"Call"
724,1,"'d",4,6,"VBD","VB",5,"'d"
724,2,"to",6,8,"TO","TO",4,"to"
724,3,"that",8,12,"DT","DT",2,"that"
724,4,"audit",12,17,"NN","NN",2,"audit"
724,5,"by",17,19,"IN","IN",2,"by"
724,6,"advis",19,24,"JJ","JJ",1,"advi"
724,7,"'d",24,26,"NNP","NN",1,"'d"
724,8,"respects",26,34,"NNS","NN",1,"respect"
724,9,";",34,35,":",":",6,";"
725,0,"Against",0,7,"IN","IN",6,"Against"
725,1,"that",7,11,"DT","DT",4,"that"
725,2,"time",11,15,"NN","NN",4,"time"
725,3,"when",15,19,"WRB","RB",3,"when"
725,4,"thou",19,23,"PRP","WP",2,"thou"
725,5,"shalt",23,28,"MD","MD",2,"shalt"
725,6,"strangely",28,37,"RB","RB",1,"strang"
725,7,"pass",37,41,"VB","VB",1,"pass"
725,8,",",41,42,",",",",3,","
726,0,"And",0,3,"CC","CC",5,"And"
726,1,"scarcely",3,11,"RB","RB",4,"scarc"
726,2,"greet",11,16,"VBP","VB",4,"greet"
726,3,"me",16,18,"PRP","WP",3,"me"
726,4,"with",18,22,"IN","IN",3,"with"
726,5,"that",22,26,"DT","DT",1,"that"
726,6,"sun",26,29,"NN","NN",1,"sun"
726,7,",",29,30,",",",",2,","
726,8,"thine",30,35,"PRP$","WP",1,"thine"
726,9,"eye",35,38,"NN","NN",1,"ey"
726,10,",",38,39,",",",",5,","
727,0,"When",0,4,"WRB","RB",10,"When"
727,1,"love",4,8,"VBP","VB",9,"love"
727,2,",",8,9,",",",",8,","
727,3,"converted",9,18,"VBN","VB",6,"convert"
727,4,"from",18,22,"IN","IN",5,"from"
727,5,"the",22,25,"DT","DT",3,"the"
727,6,"thing",25,30,"NN","NN",3,"thing"
727,7,"it",30,32,"PRP","WP",1,"it"
727,8,"was",32,35,"VBD","VB",1,"wa"
727,9,",",35,36,",",",",8,","
728,0,"Shall",0,5,"JJ","JJ",3,"Shall"
728,1,"reasons",5,12,"NNS","NN",3,"reason"
728,2,"find",12,16,"VBP","VB",3,"find"
728,3,"of",16,18,"IN","IN",2,"of"
728,4,"settled",18,25,"JJ","JJ",1,"settl"
728,5,"gravity",25,32,"NN","NN",1,"graviti"
728,6,";",32,33,":",":",4,";"
729,0,"Against",0,7,"IN","IN",4,"Against"
729,1,"that",7,11,"DT","DT",3,"that"
729,2,"time",11,15,"NN","NN",3,"time"
729,3,"do",15,17,"VBP","VB",4,"do"
729,4,"I",17,18,"PRP","WP",2,"I"
729,5,"ensconce",18,26,"VB","VB",2,"ensconc"
729,6,"me",26,28,"PRP","WP",1,"me"
729,7,"here",28,32,"RB","RB",1,"here"
729,8,",",32,33,",",",",3,","
730,0,"Within",0,6,"IN","IN",4,"Within"
730,1,"the",6,9,"DT","DT",2,"the"
730,2,"knowledge",9,18,"NN","NN",2,"knowledg"
730,3,"of",18,20,"IN","IN",2,"of"
730,4,"mine",20,24,"PRP$","WP",1,"mine"
730,5,"own",24,27,"JJ","JJ",1,"own"
730,6,"desert",27,33,"NN","NN",1,"desert"
730,7,",",33,34,",",",",5,","
731,0,"And",0,3,"CC","CC",6,"And"
731,1,"this",3,7,"DT","DT",4,"thi"
731,2,"my",7,9,"JJ","JJ",4,"my"
731,3,"hand",9,13,"NN","NN",3,"hand"
731,4,",",13,14,",",",",3,","
731,5,"against",14,21,"IN","IN",2,"against"
731,6,"my",21,23,"PRP$","WP",1,"my"
731,7,"self",23,27,"NN","NN",1,"self"
731,8,"uprear",27,33,"NN","NN",1,"uprear"
731,9,",",33,34,",",",",3,","
732,0,"To",0,2,"TO","TO",4,"To"
732,1,"guard",2,7,"VBP","VB",4,"guard"
732,2,"the",7,10,"DT","DT",2,"the"
732,3,"lawful",10,16,"JJ","JJ",2,"law"
732,4,"reasons",16,23,"NNS","NN",2,"reason"
732,5,"on",23,25,"IN","IN",2,"on"
732,6,"thy",25,28,"PRP$","WP",1,"thy"
732,7,"part",28,32,"NN","NN",1,"part"
732,8,":",32,33,":",":",5,":"
733,0,"To",0,2,"TO","TO",9,"To"
733,1,"leave",2,7,"VB","VB",8,"leav"
733,2,"poor",7,11,"JJ","JJ",6,"poor"
733,3,"me",11,13,"FW","FW",5,"me"
733,4,"thou",13,17,"PRP","WP",4,"thou"
733,5,"hast",17,21,"VBP","VB",4,"hast"
733,6,"the",21,24,"DT","DT",2,"the"
733,7,"strength",24,32,"NN","NN",2,"strength"
733,8,"of",32,34,"IN","IN",2,"of"
733,9,"laws",34,38,"NNS","NN",1,"law"
733,10,",",38,39,",",",",8,","
734,0,"Since",0,5,"IN","IN",5,"Sinc"
734,1,"why",5,8,"WRB","RB",3,"why"
734,2,"to",8,10,"TO","TO",2,"to"
734,3,"love",10,14,"VB","VB",1,"love"
734,4,"I",14,15,"PRP","WP",5,"I"
734,5,"can",15,18,"MD","MD",5,"can"
734,6,"allege",18,24,"VB","VB",4,"alleg"
734,7,"no",24,26,"DT","DT",3,"no"
734,8,"cause",26,31,"NN","NN",3,"caus"
734,9,".",31,32,".",".",6,"."
735,0,"L",0,1,"NNP","NN",1,"L"
736,0,"How",0,3,"WRB","RB",4,"How"
736,1,"heavy",3,8,"JJ","JJ",3,"heavi"
736,2,"do",8,10,"VBP","VB",4,"do"
736,3,"I",10,11,"PRP","WP",3,"I"
736,4,"journey",11,18,"VB","VB",3,"journei"
736,5,"on",18,20,"IN","IN",2,"on"
736,6,"the",20,23,"DT","DT",1,"the"
736,7,"way",23,26,"NN","NN",1,"wai"
736,8,",",26,27,",",",",2,","
737,0,"When",0,4,"WRB","RB",6,"When"
737,1,"what",4,8,"WP","WP",5,"what"
737,2,"I",8,9,"PRP","WP",5,"I"
737,3,"seek",9,13,"VBP","VB",5,"seek"
737,4,",",13,14,",",",",4,","
737,5,"my",14,16,"PRP$","WP",2,"my"
737,6,"weary",16,21,"JJ","JJ",2,"weari"
737,7,"travel",21,27,"NN","NN",2,"travel"
737,8,"'s",27,29,"VBZ","VB",2,"'s"
737,9,"end",29,32,"NN","NN",1,"end"
737,10,",",32,33,",",",",4,","
738,0,"Doth",0,4,"NNP","NN",7,"Doth"
738,1,"teach",4,9,"VBP","VB",7,"teach"
738,2,"that",9,13,"IN","IN",6,"that"
738,3,"ease",13,17,"NN","NN",3,"eas"
738,4,"and",17,20,"CC","CC",4,"and"
738,5,"that",20,24,"DT","DT",3,"that"
738,6,"repose",24,30,"VBP","VB",4,"repos"
738,7,"to",30,32,"TO","TO",2,"to"
738,8,"say",32,35,"VB","VB",1,"sai"
738,9,",",35,36,",",",",8,","
739,0,"`",0,1,"``","``",5,"`"
739,1,"Thus",1,5,"RB","RB",4,"Thu"
739,2,"far",5,8,"RB","RB",4,"far"
739,3,"the",8,11,"DT","DT",4,"the"
739,4,"miles",11,16,"NNS","NN",4,"mile"
739,5,"are",16,19,"VBP","VB",4,"ar"
739,6,"measured",19,27,"VBN","VB",3,"measur"
739,7,"from",27,31,"IN","IN",2,"from"
739,8,"thy",31,34,"PRP$","WP",1,"thy"
739,9,"friend",34,40,"NN","NN",1,"friend"
739,10,"!",40,41,".",".",5,"!"
739,11,"'",41,42,"''","''",5,"'"
740,0,"The",0,3,"DT","DT",7,"The"
740,1,"beast",3,8,"NN","NN",7,"beast"
740,2,"that",8,12,"WDT","WDT",6,"that"
740,3,"bears",12,17,"VBZ","VB",5,"bear"
740,4,"me",17,19,"PRP","WP",3,"me"
740,5,",",19,20,",",",",4,","
740,6,"tired",20,25,"JJ","JJ",3,"tire"
740,7,"with",25,29,"IN","IN",2,"with"
740,8,"my",29,31,"PRP$","WP",1,"my"
740,9,"woe",31,34,"NN","NN",1,"woe"
740,10,",",34,35,",",",",4,","
741,0,"Plods",0,5,"NNS","NN",7,"Plod"
741,1,"dully",5,10,"VBP","VB",7,"dulli"
741,2,"on",10,12,"IN","IN",6,"on"
741,3,",",12,13,",",",",7,","
741,4,"to",13,15,"TO","TO",5,"to"
741,5,"bear",15,19,"VB","VB",4,"bear"
741,6,"that",19,23,"DT","DT",2,"that"
741,7,"weight",23,29,"NN","NN",2,"weight"
741,8,"in",29,31,"IN","IN",2,"in"
741,9,"me",31,33,"PRP","WP",1,"me"
741,10,",",33,34,",",",",8,","
742,0,"As",0,2,"IN","IN",6,"As"
742,1,"if",2,4,"IN","IN",4,"if"
742,2,"by",4,6,"IN","IN",2,"by"
742,3,"some",6,10,"DT","DT",1,"some"
742,4,"instinct",10,18,"NN","NN",1,"instinct"
742,5,"the",18,21,"DT","DT",2,"the"
742,6,"wretch",21,27,"NN","NN",2,"wretch"
742,7,"did",27,30,"VBD","VB",2,"did"
742,8,"know",30,34,"VBP","VB",4,"know"
743,0,"His",0,3,"PRP$","WP",7,"Hi"
743,1,"rider",3,8,"NN","NN",7,"rider"
743,2,"lov",8,11,"NN","NN",7,"lov"
743,3,"'d",11,13,"MD","MD",7,"'d"
743,4,"not",13,16,"RB","RB",7,"not"
743,5,"speed",16,21,"VB","VB",6,"speed"
743,6,",",21,22,",",",",6,","
743,7,"being",22,27,"VBG","VB",4,"be"
743,8,"made",27,31,"VBN","VB",3,"made"
743,9,"from",31,35,"IN","IN",2,"from"
743,10,"thee",35,39,"PRP","WP",1,"thee"
743,11,":",39,40,":",":",8,":"
744,0,"The",0,3,"DT","DT",3,"The"
744,1,"bloody",3,9,"JJ","JJ",3,"bloodi"
744,2,"spur",9,13,"NN","NN",3,"spur"
744,3,"can",13,16,"MD","MD",3,"can"
744,4,"not",16,19,"RB","RB",3,"not"
744,5,"provoke",19,26,"VB","VB",2,"provok"
744,6,"him",26,29,"PRP","WP",1,"him"
744,7,"on",29,31,"RP","RP",1,"on"
744,8,",",31,32,",",",",4,","
745,0,"That",0,4,"DT","DT",4,"That"
745,1,"sometimes",4,13,"RB","RB",4,"sometim"
745,2,"anger",13,18,"NN","NN",4,"anger"
745,3,"thrusts",18,25,"VBD","VB",3,"thrust"
745,4,"into",25,29,"IN","IN",2,"into"
745,5,"his",29,32,"PRP$","WP",1,"hi"
745,6,"hide",32,36,"NN","NN",1,"hide"
745,7,",",36,37,",",",",5,","
746,0,"Which",0,5,"WDT","WDT",4,"Which"
746,1,"heavily",5,12,"RB","RB",3,"heavili"
746,2,"he",12,14,"PRP","WP",3,"he"
746,3,"answers",14,21,"VBZ","VB",3,"answer"
746,4,"with",21,25,"IN","IN",2,"with"
746,5,"a",25,26,"DT","DT",1,"a"
746,6,"groan",26,31,"NN","NN",1,"groan"
746,7,",",31,32,",",",",2,","
747,0,"More",0,4,"RBR","RB",6,"More"
747,1,"sharp",4,9,"JJ","JJ",6,"sharp"
747,2,"to",9,11,"TO","TO",5,"to"
747,3,"me",11,13,"PRP","WP",4,"me"
747,4,"than",13,17,"IN","IN",6,"than"
747,5,"spurring",17,25,"VBG","VB",4,"spur"
747,6,"to",25,27,"TO","TO",3,"to"
747,7,"his",27,30,"PRP$","WP",1,"hi"
747,8,"side",30,34,"NN","NN",1,"side"
747,9,";",34,35,":",":",2,";"
748,0,"For",0,3,"IN","IN",4,"For"
748,1,"that",3,7,"DT","DT",3,"that"
748,2,"same",7,11,"JJ","JJ",4,"same"
748,3,"groan",11,16,"NN","NN",4,"groan"
748,4,"doth",16,20,"RB","RB",4,"doth"
748,5,"put",20,23,"VBD","VB",4,"put"
748,6,"this",23,27,"DT","DT",2,"thi"
748,7,"in",27,29,"IN","IN",2,"in"
748,8,"my",29,31,"PRP$","WP",1,"my"
748,9,"mind",31,35,"NN","NN",1,"mind"
748,10,",",35,36,",",",",5,","
749,0,"My",0,2,"PRP$","WP",3,"My"
749,1,"grief",2,7,"JJ","JJ",3,"grief"
749,2,"lies",7,11,"NNS","NN",3,"li"
749,3,"onward",11,17,"VBD","VB",2,"onward"
749,4,",",17,18,",",",",3,","
749,5,"and",18,21,"CC","CC",3,"and"
749,6,"my",21,23,"PRP$","WP",1,"my"
749,7,"joy",23,26,"NN","NN",1,"joi"
749,8,"behind",26,32,"RB","RB",1,"behind"
749,9,".",32,33,".",".",4,"."
750,0,"LI",0,2,"NNP","NN",1,"LI"
751,0,"Thus",0,4,"RB","RB",2,"Thu"
751,1,"can",4,7,"MD","MD",3,"can"
751,2,"my",7,9,"PRP$","WP",1,"my"
751,3,"love",9,13,"NN","NN",1,"love"
751,4,"excuse",13,19,"NN","NN",1,"excus"
751,5,"the",19,22,"DT","DT",1,"the"
751,6,"slow",22,26,"JJ","JJ",1,"slow"
751,7,"offence",26,33,"NN","NN",1,"offenc"
752,0,"Of",0,2,"IN","IN",6,"Of"
752,1,"my",2,4,"PRP$","WP",4,"my"
752,2,"dull",4,8,"JJ","JJ",4,"dull"
752,3,"bearer",8,14,"NN","NN",4,"bearer"
752,4,"when",14,18,"WRB","RB",3,"when"
752,5,"from",18,22,"IN","IN",2,"from"
752,6,"thee",22,26,"PRP","WP",1,"thee"
752,7,"I",26,27,"PRP","WP",2,"I"
752,8,"speed",27,32,"VB","VB",2,"speed"
752,9,":",32,33,":",":",6,":"
753,0,"From",0,4,"IN","IN",9,"From"
753,1,"where",4,9,"WRB","RB",7,"where"
753,2,"thou",9,13,"PRP","WP",6,"thou"
753,3,"art",13,16,"VBP","VB",6,"art"
753,4,"why",16,19,"WRB","RB",3,"why"
753,5,"should",19,25,"MD","MD",3,"should"
753,6,"I",25,26,"PRP","WP",2,"I"
753,7,"haste",26,31,"VB","VB",2,"hast"
753,8,"me",31,33,"PRP","WP",1,"me"
753,9,"thence",33,39,"RB","RB",1,"thenc"
753,10,"?",39,40,".",".",4,"?"
754,0,"Till",0,4,"JJ","JJ",3,"Till"
754,1,"I",4,5,"NN","NN",3,"I"
754,2,"return",5,11,"NN","NN",3,"return"
754,3,",",11,12,",",",",4,","
754,4,"of",12,14,"IN","IN",3,"of"
754,5,"posting",14,21,"VBG","VB",1,"post"
754,6,"is",21,23,"VBZ","VB",4,"is"
754,7,"no",23,25,"DT","DT",3,"no"
754,8,"need",25,29,"NN","NN",3,"need"
754,9,".",29,30,".",".",5,"."
755,0,"O",0,1,"NNP","NN",3,"O"
755,1,"!",1,2,"NNP","NN",3,"!"
755,2,"what",2,6,"WP","WP",2,"what"
755,3,"excuse",6,12,"NN","NN",1,"excus"
755,4,"will",12,16,"MD","MD",1,"will"
755,5,"my",16,18,"PRP$","WP",3,"my"
755,6,"poor",18,22,"JJ","JJ",3,"poor"
755,7,"beast",22,27,"NN","NN",3,"beast"
