sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
1411,3,"much",9,13,"JJ","JJ",3,"much"
1411,4,"outlive",13,20,"VB","VB",2,"outliv"
1411,5,"a",20,21,"DT","DT",1,"a"
1411,6,"gilded",21,27,"JJ","JJ",1,"gild"
1411,7,"tomb",27,31,"NN","NN",1,"tomb"
1412,0,"And",0,3,"CC","CC",5,"And"
1412,1,"to",3,5,"TO","TO",3,"to"
1412,2,"be",5,7,"VB","VB",2,"be"
1412,3,"prais",7,12,"JJ","JJ",1,"prai"
1412,4,"'d",12,14,"VBD","VB",4,"'d"
1412,5,"of",14,16,"IN","IN",3,"of"
1412,6,"ages",16,20,"NNS","NN",1,"ag"
1412,7,"yet",20,23,"RB","RB",1,"yet"
1412,8,"to",23,25,"TO","TO",2,"to"
1412,9,"be",25,27,"VB","VB",1,"be"
1412,10,".",27,28,".",".",5,"."
1413,0,"Then",0,4,"RB","RB",6,"Then"
1413,1,"do",4,6,"VBP","VB",5,"do"
1413,2,"thy",6,9,"PRP$","WP",4,"thy"
1413,3,"office",9,15,"NN","NN",4,"offic"
1413,4,",",15,16,",",",",5,","
1413,5,"Muse",16,20,"NNP","NN",3,"Muse"
1413,6,";",20,21,":",":",4,";"
1413,7,"I",21,22,"PRP","WP",2,"I"
1413,8,"teach",22,27,"VB","VB",2,"teach"
1413,9,"thee",27,31,"PRP","WP",1,"thee"
1413,10,"how",31,34,"WRB","RB",1,"how"
1414,0,"To",0,2,"TO","TO",4,"To"
1414,1,"make",2,6,"VB","VB",3,"make"
1414,2,"him",6,9,"PRP","WP",2,"him"
1414,3,"seem",9,13,"VBP","VB",5,"seem"
1414,4,"long",13,17,"RB","RB",4,"long"
1414,5,"hence",17,22,"RB","RB",3,"henc"
1414,6,"as",22,24,"IN","IN",4,"as"
1414,7,"he",24,26,"PRP","WP",2,"he"
1414,8,"shows",26,31,"VBZ","VB",2,"show"
1414,9,"now",31,34,"RB","RB",1,"now"
1414,10,".",34,35,".",".",6,"."
1415,0,"My",0,2,"PRP$","WP",7,"My"
1415,1,"love",2,6,"NN","NN",7,"love"
1415,2,"is",6,8,"VBZ","VB",7,"is"
1415,3,"strengthen",8,18,"VB","VB",6,"strengthen"
1415,4,"'d",18,20,"NNP","NN",5,"'d"
1415,5,",",20,21,",",",",6,","
