sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
259,0,"To",0,2,"TO","TO",4,"To"
259,1,"the",2,5,"DT","DT",2,"the"
259,2,"wide",5,9,"JJ","JJ",2,"wide"
259,3,"world",9,14,"NN","NN",2,"world"
259,4,"and",14,17,"CC","CC",3,"and"
259,5,"all",17,20,"DT","DT",1,"all"
259,6,"her",20,23,"PRP$","WP",1,"her"
259,7,"fading",23,29,"JJ","JJ",1,"fade"
259,8,"sweets",29,35,"NNS","NN",1,"sweet"
259,9,";",35,36,":",":",3,";"
260,0,"But",0,3,"CC","CC",6,"But"
260,1,"I",3,4,"PRP","WP",5,"I"
260,2,"forbid",4,10,"VBD","VB",5,"forbid"
260,3,"thee",10,14,"VBZ","VB",2,"thee"
260,4,"one",14,17,"CD","CD",2,"on"
260,5,"most",17,21,"RBS","RB",1,"most"
260,6,"heinous",21,28,"JJ","JJ",1,"heinou"
260,7,"crime",28,33,"NN","NN",2,"crime"
260,8,":",33,34,":",":",6,":"
261,0,"O",0,1,"NNP","NN",4,"O"
261,1,"!",1,2,"NNP","NN",4,"!"
261,2,"carve",2,7,"VBP","VB",4,"carv"
261,3,"not",7,10,"RB","RB",3,"not"
261,4,"with",10,14,"IN","IN",2,"with"
261,5,"thy",14,17,"PRP$","WP",1,"thy"
261,6,"hours",17,22,"NNS","NN",1,"hour"
261,7,"my",22,24,"PRP$","WP",2,"my"
261,8,"love",24,28,"NN","NN",2,"love"
261,9,"'s",28,30,"POS","POS",2,"'s"
261,10,"fair",30,34,"JJ","JJ",3,"fair"
261,11,"brow",34,38,"NN","NN",3,"brow"
261,12,",",38,39,",",",",5,","
262,0,"Nor",0,3,"CC","CC",6,"Nor"
262,1,"draw",3,7,"VB","VB",4,"draw"
262,2,"no",7,9,"DT","DT",3,"no"
262,3,"lines",9,14,"NNS","NN",3,"line"
262,4,"there",14,19,"RB","RB",3,"there"
262,5,"with",19,23,"IN","IN",3,"with"
262,6,"thine",23,28,"PRP$","WP",1,"thine"
262,7,"antique",28,35,"JJ","JJ",1,"antiqu"
262,8,"pen",35,38,"NN","NN",1,"pen"
262,9,";",38,39,":",":",2,";"
263,0,"Him",0,3,"PRP","WP",2,"Him"
263,1,"in",3,5,"IN","IN",2,"in"
263,2,"thy",5,8,"PRP$","WP",1,"thy"
263,3,"course",8,14,"NN","NN",1,"cours"
263,4,"untainted",14,23,"NN","NN",1,"untaint"
263,5,"do",23,25,"VBP","VB",3,"do"
263,6,"allow",25,30,"VB","VB",2,"allow"
264,0,"For",0,3,"IN","IN",7,"For"
264,1,"beauty",3,9,"NN","NN",6,"beauti"
